"neo_id","date","hour","minute","relative_velocity_kph","miss_distance_km","orbiting_body",
"2353938","2021-09-28","07","42","19175.4105741543","39531219.89886559","Earth",
"2353947","2020-02-15","15","26","77811.6739374781","68631884.31264001","Earth",
"2354952","2020-06-21","18","37","20286.528562969","43091508.70254608","Earth",
"2357028","2021-08-21","03","21","71378.5585001659","67607463.91947238","Earth",
"2357058","2020-08-10","15","46","22719.71996278","36455962.39562667","Earth",
"2357618","2021-03-19","15","03","112990.279557632","54956467.686275475","Earth",
"2357622","2020-09-20","02","36","51552.2572528349","60509001.30539434","Earth",
"2358453","2020-11-23","03","35","52219.6222408409","26952273.41069212","Earth",
"2360502","2021-01-12","07","20","31053.5455535867","32908903.3094992","Earth",
"2361123","2020-07-22","11","59","17400.7231606941","39872300.88825626","Earth",
"2363024","2021-01-21","22","56","55130.2409602822","10967307.705921454","Earth",
"2363027","2021-10-07","01","04","50049.0676520302","28075616.472501922","Earth",
"2363067","2020-02-19","19","21","48455.3024829176","54133567.80126445","Earth",
